Hypertension,Lipid metabolism disorders,Chronic low back pain,Severe vision reduction,Joint arthrosis,Diabetes mellitus (other),Diabetes mellitus (Type 1),Diabetes mellitus (Type 2),Chronic ischemic heart disease,Thyroid dieseases,Cardiac arrhythmias,Obesity,Hyperuricemia/gout,Prostatic hyperplasia,Lower limb varicosis,Liver disease,Depression,Asthma/COPD,Gynecological problems,Atherosclerosis/PAOD,Osteoporosis,Renal insufficiency,Cerebral ischemia/chronicstroke,Cardiac insufficiency,Severe hearing loss,Chronic cholecystitis/gallstones,Somatoform disorders,Hemorrhoids,Intestinal diverticulosis,Rheumatoid arthritis/chronicpolyarthritis,Cardiac valve disorders,Neuropathies,Dizziness,Dementia,Urinary incontinence,Urinary tract calculi,Anemia,Anxiety,Psoriasis,Migraine/chronic headache,Parkinson’s disease,Cancer,Allergy ,Chronic gastritis/GERD,Sexual dysfunction,Insomnia,Tobacco abuse,Hypotension,Kidney Transplant,Chronic Kidney Disease,Muscle weakness (generalized),History of falling,Fibromyalgia,Age-related cognitive decline,Acute kidney failure,Bipolar disorder,Edema,Difficulty in walking,Chronic pain syndrome,Chest Pain,Dependence on supplemental oxygen,Elevated blood-pressure reading,Constipation,Complications and ill-defined descriptions of heart disease,Long term (current) use of insulin,Acute respiratory failure with hypoxia,ADHD,PTSD,Adjustment Disorders,Other reactions to severe stress,Anxiety,Bipolar,Depression ,Eating disorders,Insomnia,Obsessive-compulsive disorder
I10,E78,M40,H17,M15,E12,E10,E11,I20,E01,I44,E66,E79,N40,I83,K70,F32,J40,N81,I65,M80,N18,I60,I50,H90,K80,F45,I84,K57,M05,I34,G50,H81,F00,N393,N20,D50,F40,L40,G43,G20,C0,H011,K21,F52,G47,F17,I95,Z940,N18,M6281,Z9181,M797,R4181,N17,F31,R60,R262,G894,R079,Z9981,R030,K5900,I51,Z794,J9601,F90,F431,F432,F438,F41,F31,F32,F50,F510,F42
I11,,M41,H18,M16,E13,,,I25,E02,I45,,M10,,I872,K713,F33,J41,N93,I66,M81,N19,I61,,H910,K811,,,,M06,I35,G51,H82,F01,N394,,D51,F41,,G44,G22,C1,J30,K254,N484,F51,,,,,,,,,,,,,,,,,,,,,,,,,,,F330,,F5101,
I12,,M42,H25,M17,E14,,,I21,E03,I460,,,,,K714,,J42,N95,I672,M82,,I62,,H911,,,,,M790,I36,G52,R42,F02,R32,,D52,,,,,C2,L23,K255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F331,,F5102,
I13,,M43,H26,M18,,,,,E04,I469,,,,,K715,,J43,N84,I70,,,I63,,H913,,,,,,I37,G53,,F03,,,D53,,,,,C3,L272,K256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F332,,F5103,
I14,,M44,H27,M19,,,,,E05,I47,,,,,K717,,J44,N85,I739,,,I64,,H918,,,,,,,G54,,F051,,,D55,,,,,C4,L564,K257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F333,,F5104,
I15,,M45,H28,,,,,,E061,I48,,,,,K721,,J45,N86,,,,I69,,H919,,,,,,,G55,,G30,,,D56,,,,,C5,K522,K258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5105,
,,M47,H31,,,,,,E062,I491,,,,,K727,,J47,N87,,,,G45,,,,,,,,,G56,,G31,,,D57,,,,,C6,K900,K259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5106,
,,M480,H33,,,,,,E063,I492,,,,,K729,,,N88,,,,,,,,,,,,,G57,,R54,,,D58,,,,,C7,T781,K264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5107,
,,M481,H341,,,,,,E065,I493,,,,,K73,,,N89,,,,,,,,,,,,,G58,,,,,D590,,,,,C8,T784,K265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5108,
